time,day_of_week,city,country,channel,status,game,avg_ccu,preliminary_tag
7/26/2016 18:58,2,Boardman,US,distortion2,Shadow of the Colossus speedruns,Shadow of the Colossus,826,community
7/17/2016 15:49,0,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [665/1000] w/ DooM @Bigfoltz,Call of Duty: Black Ops III,819,community
7/30/2016 14:30,6,San Francisco,US,xnestorio,Badlion To2,Minecraft,816,community
6/8/2016 11:40,3,Boardman,US,flosd,boxbox - WE ARE 110 LP AWAY FROM CHALLENGER CAN WE DO IT,League of Legends,816,community
8/11/2016 17:55,4,Boardman,US,neebsgaming,Don't Be Raceist!!! - Neebs Gaming,Grand Theft Auto V,815,community
9/1/2016 4:09,4,Boardman,US,alaskansavage,!Enderal (PC) lvl 31+ Elementarist/Thaumaturge,The Elder Scrolls V: Skyrim,811,community
8/29/2016 5:22,1,Boardman,US,raszi,Won $22 PLO - Last 11 $22 Bubble Rush $1500 1st,Poker,796,community
8/24/2016 17:49,3,Boardman,US,anhierawrs,WATCH ME SUFFER !newvid <3 Follow my twitter @anhierawrs - https://twitter.com/anhierawrs/,Outlast,795,community
6/3/2016 9:31,5,Boardman,US,shroomztv,Next Stream: Saturday 1pm (CET) / 7am (EST) - @SHROOMZ,Mount Your Friends,785,community
7/3/2016 15:30,0,Boardman,US,kaceytron,kaceytron group show - $4.99,Gaming Talk Shows,780,community
7/16/2016 1:55,6,San Francisco,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [613/1000] w/ DooM @iGhostNinja,Call of Duty: Black Ops III,779,community
7/22/2016 23:14,5,Boardman,US,elspeth,"F#CKED UP FRIDAY! with EatMyDiction1, GassyMexican, and CurvyLlama !fuf",Lethal League,778,community
8/16/2016 20:50,2,Boardman,US,koopatroopa787,Next Stream around 11:30 PM CST Lvl 33 - EVO Stream with Albion Online and WoW After!,Pokémon Go,777,community
8/29/2016 18:06,1,Boardman,US,warbulletproof,TEEEE JUAN SWETZ,Destiny,760,community
6/6/2016 11:51,1,Boardman,US,summit1g,-=]- Surf/Bet/Chill then H1Z1 w/ @summit1g -[=-,Counter-Strike: Global Offensive,760,community
7/19/2016 14:28,2,Boardman,US,lobosjr,Blizzard Patch Day!,World of Warcraft,757,community
6/13/2016 5:19,1,Boardman,US,raszi,ITM Hot $82! 2.7k 1st. Euro2016 freerolls also!,Poker,756,community
6/13/2016 17:47,1,Boardman,US,jsparcmac,Sparc Mac - Cleaned Staking -  Quitting Q&A,RuneScape,754,community
8/19/2016 6:14,5,Boardman,US,yogscast,"Hannah ""Owls are disgusting creatures"" Rutherford streaming!",Grand Theft Auto V,754,community
